ALUTs,Registers,Logic Utilization,DSP Blocks,Memory Bits,RAM Blocks,Actual Clock Freq,Kernel fmax,1x clock fmax,ALMs needed [=A-B+C],ALMs used in final placement [=a+b+c+d],ALMs used for LUT logic & registers,ALMs used for LUT logic,ALMs used for registers,ALMs used for memory (up to half of total ALMs),Estimate of ALMs recoverable by dense packing,Due to LAB-wide signal conflicts,Due to LAB input limits,Total LABs: partially or completely used,Logic LABs,Memory LABs (up to half of total LABs),Combinational ALUT usage for logic,7 input functions,6 input functions,5 input functions,4 input functions,<=3 input functions,Memory ALUT usage,32-address deep,Dedicated logic registers,Primary logic registers,Design Implementation registers,M20K blocks,Total MLAB memory bits,Total block memory bits,Total block memory implementation bits,Total DSP Blocks,Total Fixed Point DSP Blocks,Total Floating Point DSP Blocks,Maximum fan-out,Total Fan-out,Average fan-out,Two Independent 18x18,Sum of two 18x18,Independent 27x27,Floating Point Multiplier,Floating Point Adder,Floating Point Addition of Products,Floating Point Vector Mode 1,Floating Point Vector Mode 2,Floating Point Accumulation of Products,Total Number of DSP Blocks,Fixed Point Signed Multiplier,Fixed Point Unsigned Multiplier,Fixed Point Mixed Sign Multiplier,Fixed Point Dedicated Output Adder Chain,Block Interconnects,C27 Interconnects,C4 interconnects,Direct Links,R3 Interconnects,R32 Interconnects,R32/C27 Interconnect drivers,R6 Interconnects
65317,157565,0.19,0.29,0.55,0.71,206.837606,206.99,206.99,82401,0.23,13955,20320,62430,2740,0.05,129,85,0.51,21360,274,60715,461,9785,6073,12053,32343,4602,4602,157565,0.18,155836,0.71,131968,0.55,0.71,0.29,10,432,124335,1207412,4.97,5,5,0,32,336,64,0,0,0,442,0,15,0,0,0.12,0.46,0.14,0.01,0.13,0.43,0.1,0.15
83647,183198,0.23,0.42,0.56,0.64,202.7777773,202.83,202.83,98126,0.29,16249,28801,72813,4800,0.07,37,89,0.65,27195,480,75421,304,16544,8072,11728,38773,8226,8226,183198,0.21,181469,0.64,156736,0.56,0.64,0.42,10,625,162161,1459781,5.04,5,5,0,0,0,500,0,125,0,635,0,15,0,0,0.14,0.49,0.18,0.01,0.16,0.5,0.11,0.2
77639,166606,0.21,0.34,0.46,0.54,201.0582006,201.16,201.16,91729,0.26,15416,27082,65473,4000,0.06,193,120,0.61,25773,400,70843,284,16026,7551,11504,35478,6796,6796,166606,0.19,164877,0.54,131936,0.46,0.54,0.34,10,500,139504,1340075,5.05,5,5,0,0,0,400,0,100,0,510,0,15,0,0,0.13,0.47,0.17,0.01,0.15,0.49,0.1,0.18
48058,126518,0.16,0.21,0.13,0.23,259.649122,259.74,288.26,68833,0.18,11246,13400,49623,1540,0.03,99,1,0.38,15938,154,45681,150,5349,4054,9461,26667,2377,2377,126518,0.14,124789,0.23,39031,0.13,0.23,0.21,0,312,78842,975429,5.06,0,0,0,0,192,120,0,0,0,312,0,0,0,0,0.08,0.24,0.1,0,0.1,0.2,0.06,0.1
57971,167906,0.19,0.22,0.23,0.42,245.4545448,245.575,255.62,82560,0.23,13811,14593,67465,4310,0.05,127,10,0.55,23079,431,51520,112,6821,5693,11716,27178,6451,6451,167906,0.19,166177,0.42,46156,0.23,0.42,0.22,9,320,116919,1169280,4.72,2,0,7,7,163,150,0,0,0,329,0,5,4,0,0.11,0.33,0.13,0.01,0.13,0.24,0.07,0.13
46481,98037,0.14,0.03,0.07,0.16,248.1481475,248.26,248.26,58863,0.14,11743,13085,34880,560,0.01,170,10,0.26,10860,56,45535,107,5922,4292,10884,24330,946,946,98037,0.11,96308,0.16,24072,0.07,0.16,0.03,30,11,47882,814692,5.09,19,3,8,2,6,3,0,0,0,41,0,33,0,0,0.06,0.2,0.07,0,0.07,0.19,0.05,0.08
41901,85143,0.13,0.02,0.12,0.2,252.7777771,252.84,252.84,54384,0.13,9561,13266,30940,450,0,8,7,0.23,9624,45,41091,112,6143,4216,7607,23013,810,810,85143,0.09,83414,0.2,22272,0.12,0.2,0.02,26,11,45962,836785,5.73,17,1,8,2,6,3,0,0,0,37,0,27,0,0,0.06,0.22,0.07,0,0.07,0.23,0.05,0.07
92363,183132,0.25,0.12,0.53,0.72,205.3333328,205.54,205.54,107881,0.3,21790,39242,66536,200,0.06,57,269,0.62,26599,20,92163,2118,31624,11429,11963,35029,200,200,183132,0.21,181403,0.72,6400,0.53,0.72,0.12,2,176,212540,2170193,6.55,1,1,0,32,96,48,0,0,0,178,0,3,0,0,0.15,0.52,0.19,0.02,0.17,0.43,0.09,0.19
116171,320652,0.36,0.43,0.1,0.26,185.5072459,185.56,185.56,153831,0.46,29258,28068,124791,15480,0.11,570,44,0.86,35066,1548,100889,875,15567,11879,17735,54833,15282,15282,320652,0.36,318923,0.26,470528,0.1,0.26,0.43,6,640,315824,2039434,4.4,3,3,0,64,384,192,0,0,0,646,0,9,0,0,0.18,0.6,0.28,0.02,0.25,0.52,0.12,0.28
59013,136864,0.18,0.12,0.1,0.2,229.1666661,229.2,229.2,76077,0.2,14151,19991,51604,400,0.03,134,137,0.41,17638,40,58385,606,12033,6649,13923,25174,628,628,136864,0.15,135135,0.2,20096,0.1,0.2,0.12,2,176,95068,1061854,4.93,1,1,0,32,96,48,0,0,0,178,0,3,0,0,0.09,0.28,0.1,0.01,0.1,0.26,0.06,0.11
