0.41,0.3,232.8888883,121793,360,345599,3.98,133,705,72.025391,80.823242,69.318359,72.702148,49.056976,54.242249,48.302765,48.587585
0.25,0.42,201.0582006,68197,106,212355,5.48,67,139,55.106445,61.197266,53.75293,56.459961,32.752441,35.353271,32.547821,33.290039
0.25,0.37,213.3333328,69023,106,212676,5.43,67,134,53.75293,61.197266,53.076172,56.459961,30.7565,33.521667,30.834778,30.960205
0.24,0.41,222.2222217,67052,106,209976,5.39,67,139,55.106445,61.874023,53.75293,56.459961,32.643402,35.353271,32.912659,33.462982
0.24,0.42,220.2898545,66449,106,196145,5.55,67,139,55.106445,61.874023,53.75293,57.136719,32.046204,34.789124,31.832336,31.792236
0.31,0.69,218.3574874,90382,190,316506,5.63,121,397,57.813477,65.257812,56.459961,59.166992,34.496796,38.362061,35.30072,34.803223
0.24,0.43,224.6913575,70431,106,204527,5.47,67,154,57.813477,65.257812,56.459961,59.84375,34.086639,37.179382,34.211426,34.235779
0.31,0.69,218.3574874,90382,190,316506,5.63,121,397,57.136719,65.257812,56.459961,60.520508,34.907684,38.738159,35.351807,35.147461
0.3,0.67,203.3333328,90680,190,293902,5.71,121,397,59.84375,67.964844,58.490234,61.874023,36.705322,40.054504,36.646912,36.88385
0.3,0.49,197.9797975,90041,190,292768,5.18,121,397,57.136719,64.581055,55.106445,59.84375,34.685303,37.591553,34.97168,35.181519
0.34,0.52,194.2028981,124649,64,241771,4.8,32,0,72.025391,84.883789,69.995117,74.732422,47.154419,55.258484,46.976807,47.480713
0.23,0.37,199.999999,77974,32,146132,4.86,16,0,61.874023,69.318359,59.84375,62.550781,39.340576,43.481689,39.646729,39.531921
0.19,0.71,206.837606,62430,10,124335,4.97,5,432,57.813477,64.581055,55.783203,58.490234,39.264038,42.208099,39.399902,39.98291
0.23,0.64,202.7777773,72813,10,162161,5.04,5,625,60.520508,68.641602,59.166992,63.227539,37.458252,40.747101,36.836792,37.360657
0.21,0.54,201.0582006,65473,10,139504,5.05,5,500,59.166992,66.611328,57.813477,61.197266,36.893555,39.076172,35.766357,36.452545
0.16,0.23,259.649122,49623,0,78842,5.06,0,312,56.459961,63.227539,54.429688,57.136719,31.68457,33.881836,31.405792,31.383362
0.19,0.42,245.4545448,67465,9,116919,4.72,2,320,59.166992,65.93457,57.136719,59.84375,38.55011,41.330566,38.545715,38.681488
0.14,0.16,248.1481475,34880,30,47882,5.09,19,11,51.045898,57.136719,49.692383,53.076172,27.750916,29.538116,27.952789,27.735901
0.13,0.2,252.7777771,30940,26,45962,5.73,17,11,53.076172,59.166992,51.722656,55.106445,29.798584,31.576904,29.678467,29.782471
0.25,0.72,205.3333328,66536,2,212540,6.55,1,176,57.136719,63.904297,55.783203,59.166992,33.570557,36.857666,33.402832,34.030151
0.36,0.26,185.5072459,124791,6,315824,4.4,3,640,57.813477,64.581055,56.459961,59.84375,34.856873,37.403595,34.641541,34.580566
0.18,0.2,229.1666661,51604,2,95068,4.93,1,176,52.399414,58.490234,51.722656,54.429688,32.659241,34.413025,32.675171,32.549194
0.16,0.24,235.2941171,41621,8,87291,5.68,4,37,55.106445,62.550781,54.429688,57.136719,32.375977,34.806061,33.071045,32.738434
0.13,0.23,270.1754379,31446,6,47452,5.91,3,13,54.429688,60.520508,53.076172,56.459961,30.960205,33.268524,31.37558,31.194305
0.36,0.64,182.7160489,106626,8,360309,5.73,4,289,60.520508,67.964844,59.166992,62.550781,38.096924,40.934875,37.596313,37.756348
0.2,0.47,211.1111106,49052,6,134951,6.36,3,97,57.136719,63.904297,55.783203,59.166992,33.365753,36.258179,33.071045,33.462982
0.16,0.19,243.589743,40489,6,66871,5.22,3,97,55.783203,62.550781,55.106445,57.813477,33.14502,35.69458,33.197021,33.100891
0.26,0.28,179.999999,71511,216,159537,4.72,167,0,59.166992,65.93457,57.136719,59.84375,36.328857,39.244904,36.025085,36.246094
0.19,0.25,236.1111105,46462,30,107415,5.43,17,11,52.399414,59.166992,51.722656,54.429688,29.058289,31.103668,29.269775,29.023682
0.19,0.25,215.555555,49772,38,125145,5.26,21,11,52.399414,58.490234,51.722656,54.429688,29.03009,30.885132,29.163757,29.023682
0.28,0.45,215.8148143,75236,78,232632,5.41,44,68,58.490234,66.611328,57.136719,61.197266,35.096375,38.719299,35.731934,35.766266
0.43,0.16,229.3333327,100760,250,310014,4.02,1,0,68.641602,76.762695,65.93457,69.318359,45.884033,50.102783,45.082581,45.430206
0.32,0.15,228.0193231,77703,166,214849,4.14,1,0,63.904297,72.025391,62.550781,65.93457,39.866455,43.209229,39.627594,40.002319
0.34,0.15,232.4786319,80630,178,228238,4.12,1,0,63.904297,72.702148,63.227539,66.611328,40.529022,44.459198,40.595215,40.94577
0.35,0.15,228.1481476,84293,190,242140,4.1,1,0,64.581055,73.378906,63.227539,67.288086,41.303101,45.109863,41.583801,41.471558
0.37,0.15,227.1604933,87555,202,254951,4.08,1,0,65.93457,75.40918,64.581055,68.641602,41.97583,46.289886,42.282074,42.578888
0.4,0.16,230.3030297,93905,226,282941,4.04,1,0,67.964844,77.439453,66.611328,69.995117,44.733948,49.57251,45.060791,44.842896
0.42,0.16,228.2828277,97640,238,296670,4.03,1,0,69.318359,79.469727,67.964844,72.025391,45.297821,50.462128,45.250122,45.95105
0.45,0.16,231.3725484,104941,262,324045,4,1,0,72.025391,82.853516,70.671875,74.732422,47.905884,53.49408,47.757568,48.28125
0.48,0.17,228.1481476,112181,286,351425,3.98,1,0,74.732422,86.237305,72.702148,77.439453,49.711761,56.701538,49.487091,50.446289
0.49,0.17,229.3333328,114791,298,364638,3.97,1,0,75.40918,87.59082,73.378906,78.116211,50.723877,58.486908,50.716187,51.035797
0.51,0.17,232.4786319,118028,310,378735,3.96,1,0,76.762695,90.297852,75.40918,80.146484,52.328613,60.325928,51.826538,52.841858
0.52,0.19,228.1481476,122163,322,393742,3.96,1,0,77.439453,91.651367,75.40918,80.823242,53.276001,62.098022,52.58313,53.782104
0.54,0.2,229.9516902,125473,334,407582,3.95,1,0,79.469727,94.358398,77.439453,82.176758,54.642426,64.840118,54.227234,55.0448
0.55,0.2,231.9999994,128629,346,421082,3.94,1,0,80.146484,95.711914,78.116211,83.530273,55.769073,66.489258,55.012207,56.011414
0.57,0.2,232.3232317,131861,358,435027,3.93,1,0,82.853516,102.479492,80.823242,86.237305,58.096619,73.369995,57.773895,58.83078
0.57,0.26,232.0987649,134034,370,445050,3.92,1,0,82.176758,100.449219,80.146484,85.560547,57.703033,71.426788,57.122681,58.75708
0.17,0.21,269.4444438,39143,16,80193,5.37,8,0,53.076172,58.490234,51.722656,54.429688,29.03009,31.073456,28.903564,29.156982
0.21,0.97,156.2499996,47554,20,114166,5.39,10,0,59.84375,67.288086,58.490234,61.874023,36.039825,39.114258,36.129456,36.676941
0.12,0.16,189.3719802,28303,2,45962,5.66,1,0,51.045898,57.136719,50.369141,53.076172,27.939697,29.899841,27.789368,27.966797
0.18,0.21,203.3333328,44042,4,83962,5.21,2,0,53.75293,59.84375,52.399414,55.783203,31.322571,33.709991,31.215454,31.413757
0.13,0.14,285.714285,32806,4,45962,5.15,2,0,51.045898,57.136719,50.369141,53.076172,28.128479,29.928955,28.006622,27.966797
0.13,0.14,275.7575751,31175,2,45962,5.25,1,0,51.722656,57.813477,51.045898,53.75293,28.450745,30.493652,28.591919,28.575165
0.48,0.89,166.0818709,161276,12,319136,4.89,6,0,81.5,104.509766,78.116211,83.530273,56.597351,74.333496,56.096191,56.846191
0.12,0.16,285.3333326,29286,2,45962,5.58,1,0,52.399414,59.166992,51.722656,54.429688,29.609985,31.795807,29.664185,29.899841
0.54,0.43,202.2222217,144674,16,406312,4.52,8,0,63.227539,72.025391,61.874023,65.257812,39.133301,43.333649,38.735596,39.644165
0.18,0.19,218.8034183,39823,2,72038,5.13,1,0,53.076172,59.84375,52.399414,55.106445,29.638733,31.857697,29.649902,29.535645
0.15,0.14,284.2105256,32800,0,46783,4.96,0,0,51.722656,57.813477,49.692383,52.399414,29.03009,30.508484,28.768707,28.658112
0.27,0.38,215.9999995,70116,54,222265,5.12,25,32,55.106445,61.874023,54.429688,57.136719,33.505371,36.017578,33.831299,33.857483
0.21,0.3,233.3333328,51459,50,135087,5.43,23,26,54.429688,61.197266,53.75293,56.459961,32.768372,34.483154,32.326355,32.690918
0.25,0.52,219.7530859,63797,90,207072,5.8,41,80,59.84375,66.611328,57.813477,61.874023,37.081787,40.332184,36.836792,37.324402
0.42,0.31,218.3574874,113756,596,344462,3.92,301,366,63.227539,71.348633,61.874023,64.581055,42.519836,47.131439,42.954346,42.664673
0.13,0.18,264.1025634,30119,98,45962,5.64,98,0,50.369141,56.459961,48.338867,51.045898,28.114838,29.928955,28.142944,27.980347
0.24,0.37,174.9999996,74110,4,124512,4.93,2,0,56.459961,67.964844,54.429688,61.197266,31.857697,39.451904,31.740601,35.920715
0.35,0.63,153.623188,116210,8,217941,4.93,4,0,68.641602,80.146484,66.611328,70.671875,43.815491,49.850647,43.482605,43.608582
0.48,0.89,166.0818709,161276,12,319136,4.89,6,0,80.146484,103.833008,77.439453,82.176758,55.5271,74.297058,54.122498,55.474548
0.22,0.19,215.9999995,58669,4,121068,4.72,2,0,56.459961,63.227539,53.75293,57.813477,31.873169,34.258301,31.451111,31.557129
0.32,0.28,217.7777772,84060,8,210944,4.64,4,0,60.520508,67.964844,57.136719,61.874023,35.79895,39.171387,35.939301,36.369141
0.43,0.35,203.5087714,114470,12,308624,4.57,6,0,62.550781,71.348633,59.166992,64.581055,38.022949,42.146301,37.632568,37.792969
