343088,0.41,121793,0.88,164214,23550,360,345599,3.98,133,226,72.025391,80.823242,69.318359,72.702148
196988,0.25,68197,0.61,86571,9785,106,212355,5.48,67,36,55.106445,61.197266,53.75293,56.459961
200985,0.25,69023,0.58,88007,11292,106,212676,5.43,67,36,53.75293,61.197266,53.076172,56.459961
194817,0.24,67052,0.58,85994,10105,106,209976,5.39,67,36,55.106445,61.874023,53.75293,57.136719
188511,0.24,66449,0.57,82451,11545,106,196145,5.55,67,36,55.106445,61.874023,53.75293,57.136719
250149,0.31,90382,0.76,106463,14999,190,316506,5.63,121,69,57.813477,65.257812,56.459961,59.84375
197437,0.24,70431,0.59,83481,10973,106,204527,5.47,67,36,57.813477,65.257812,56.459961,59.84375
250149,0.31,90382,0.76,106463,14999,190,316506,5.63,121,69,57.813477,65.257812,56.459961,60.520508
246834,0.3,90680,0.77,103569,16102,190,293902,5.71,121,69,59.84375,67.964844,58.490234,61.874023
248051,0.3,90041,0.76,100943,14999,190,292768,5.18,121,69,57.136719,65.257812,56.459961,59.84375
326114,0.34,124649,0.74,101830,7633,64,241771,4.8,32,32,72.025391,84.883789,69.995117,74.732422
207722,0.23,77974,0.52,73427,4571,32,146132,4.86,16,16,61.874023,69.318359,59.84375,62.550781
157565,0.19,62430,0.51,60715,4602,10,124335,4.97,5,0,57.813477,64.581055,55.783203,58.490234
183198,0.23,72813,0.65,75421,8226,10,162161,5.04,5,0,63.227539,72.702148,61.874023,65.93457
166606,0.21,65473,0.61,70843,6796,10,139504,5.05,5,0,59.166992,66.611328,57.813477,61.197266
126518,0.16,49623,0.38,45681,2377,0,78842,5.06,0,0,56.459961,63.227539,54.429688,57.136719
167906,0.19,67465,0.55,51520,6451,9,116919,4.72,2,7,59.166992,65.93457,57.136719,59.84375
98037,0.14,34880,0.26,45535,946,30,47882,5.09,19,8,51.045898,57.136719,49.692383,53.076172
85143,0.13,30940,0.23,41091,810,26,45962,5.73,17,8,53.076172,59.166992,51.722656,55.106445
